epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2826,2.21461,3.21408,2.56933,0.00502,1,0.03691,0.01132,2.08743,3.68181,3.1148,1.667e-05,1.667e-05,1.667e-05
2,22.1933,2.22819,3.26107,2.605,0.0051,1,0.06297,0.02239,1.76539,3.656,2.86037,4.90198e-05,4.90198e-05,4.90198e-05
3,33.5619,1.95183,3.14206,2.2956,0.00513,1,0.12134,0.05867,1.45717,3.37475,2.56383,8.00493e-05,8.00493e-05,8.00493e-05
4,43.8859,1.68491,2.95341,2.06456,0.00567,1,0.34643,0.1886,1.15554,3.31246,2.21276,0.000109759,0.000109759,0.000109759
5,53.3339,1.4163,2.82128,1.86333,0.00627,1,0.75929,0.48314,0.91854,3.31264,1.93575,0.000138148,0.000138148,0.000138148
6,63.2521,1.11416,2.57601,1.52222,0.00709,1,0.87192,0.55175,0.90688,3.2347,1.7011,0.000165216,0.000165216,0.000165216
7,73.0275,1.12847,2.39668,1.57319,0.00791,1,0.90611,0.55168,0.87113,3.18264,1.37743,0.000190965,0.000190965,0.000190965
8,83.0762,0.90315,1.86107,1.36974,0.00871,1,0.995,0.71241,0.63483,2.97835,1.001,0.000215393,0.000215393,0.000215393
9,93.1518,0.84739,1.63494,1.3025,0.0089,1,0.995,0.79997,0.50624,2.85903,0.82205,0.000238501,0.000238501,0.000238501
10,104.98,0.76741,1.45104,1.19384,0.00838,1,0.995,0.84094,0.48696,2.72388,0.68146,0.000260289,0.000260289,0.000260289
11,115.841,0.72935,1.42961,1.19286,0.00792,1,0.995,0.77603,0.59826,2.76106,0.69759,0.000280756,0.000280756,0.000280756
12,126.784,0.57783,1.33735,1.11544,0.00732,1,0.995,0.80256,0.63796,2.64302,0.79266,0.000299903,0.000299903,0.000299903
13,139.054,0.79185,1.25034,1.29124,0.00705,1,0.995,0.89946,0.46858,2.66915,0.70049,0.00031773,0.00031773,0.00031773
14,149.041,0.74497,1.26623,1.19443,0.00702,1,0.995,0.79595,0.3782,2.78408,0.57885,0.000334237,0.000334237,0.000334237
15,160.537,0.59954,1.13078,1.14507,0.00736,1,0.995,0.86756,0.37327,2.80872,0.54155,0.000349423,0.000349423,0.000349423
16,171.601,0.62957,1.07823,1.10192,0.00755,1,0.995,0.8955,0.41134,2.64479,0.52422,0.000363289,0.000363289,0.000363289
17,181.71,0.51196,0.96773,1.03257,0.8377,1,0.995,0.8955,0.58332,2.42717,0.54012,0.000375835,0.000375835,0.000375835
18,192.058,0.48874,0.95996,1.05914,0.98838,1,0.995,0.83179,0.71747,2.35388,0.57825,0.000387061,0.000387061,0.000387061
19,202.176,0.47367,0.90109,1.02147,0.98663,1,0.995,0.8955,0.5961,2.28901,0.53507,0.000396966,0.000396966,0.000396966
20,213.952,0.44476,0.83779,0.99032,0.9384,1,0.995,0.8955,0.47124,2.11359,0.43969,0.000405551,0.000405551,0.000405551
21,224.926,0.42251,0.81554,0.9538,0.96631,1,0.995,0.8955,0.40608,1.81297,0.37203,0.000412816,0.000412816,0.000412816
22,235.329,0.44481,0.9089,0.99639,0.97319,1,0.995,0.995,0.40813,1.73708,0.35722,0.00041876,0.00041876,0.00041876
23,245.65,0.39861,0.86303,0.94762,0.97141,1,0.995,0.8955,0.53796,1.73773,0.42716,0.000423385,0.000423385,0.000423385
24,255.709,0.41275,0.84472,0.96822,0.95811,1,0.995,0.8955,0.59265,1.76485,0.44983,0.000426689,0.000426689,0.000426689
25,265.599,0.43528,0.87278,0.9833,0.97737,1,0.995,0.85557,0.59074,1.76238,0.45783,0.000428672,0.000428672,0.000428672
26,275.691,0.37231,0.77584,0.94454,1,0.95809,0.995,0.70938,0.91033,1.93149,0.7007,0.000429336,0.000429336,0.000429336
27,285.759,0.42787,0.77489,0.98379,0.9405,1,0.995,0.77247,0.73645,1.95905,0.65434,0.000428679,0.000428679,0.000428679
28,295.745,0.36161,0.72763,0.98247,0.9405,1,0.995,0.77247,0.73645,1.95905,0.65434,0.000426702,0.000426702,0.000426702
29,305.873,0.39079,0.74749,0.95249,0.99747,1,0.995,0.89945,0.47938,1.59685,0.43298,0.000423405,0.000423405,0.000423405
30,315.799,0.39765,0.73023,0.97512,0.9851,1,0.995,0.97106,0.27867,1.68058,0.32229,0.000418787,0.000418787,0.000418787
31,326.092,0.39807,0.8442,0.95462,0.9851,1,0.995,0.97106,0.27867,1.68058,0.32229,0.000412849,0.000412849,0.000412849
32,337.352,0.28337,0.74856,0.94598,0.98947,1,0.995,0.995,0.1675,1.33777,0.24325,0.000405591,0.000405591,0.000405591
