epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4849,0.54891,0.75261,1.16363,0.9278,0.44444,0.45184,0.18637,2.81593,2.80238,2.80496,5.001e-05,5.001e-05,5.001e-05
2,51.7319,0.49064,0.73295,1.10565,0.97624,0.44444,0.4697,0.19516,2.66466,2.59187,2.58404,0.000115535,0.000115535,0.000115535
3,77.177,0.47745,0.73642,1.12532,0.9726,0.44444,0.48406,0.23361,2.1346,2.56023,2.30591,0.000179739,0.000179739,0.000179739
4,103.58,0.5497,0.78723,1.15748,1,0.49037,0.54725,0.33826,1.2165,2.26596,2.10074,0.000242624,0.000242624,0.000242624
5,129.008,0.5634,0.75156,1.14371,1,0.48983,0.54725,0.34107,1.23383,2.13023,2.02999,0.000304187,0.000304187,0.000304187
6,156.786,0.47413,0.72338,1.11423,0.99016,0.44444,0.53725,0.25025,1.89272,2.33035,2.03769,0.000364431,0.000364431,0.000364431
7,185.467,0.48356,0.7018,1.08888,0.98825,0.44444,0.5149,0.19243,2.28593,2.298,2.07205,0.000423355,0.000423355,0.000423355
8,214.545,0.57845,0.75184,1.12247,1,0.48475,0.54725,0.29227,1.50536,2.09797,1.67934,0.000480958,0.000480958,0.000480958
9,246.547,0.4838,0.72486,1.07537,0.98442,0.5,0.54725,0.48704,0.70688,1.60277,1.21557,0.000537241,0.000537241,0.000537241
10,280.156,0.46299,0.66837,1.08241,0.94754,0.5,0.74075,0.73334,0.38969,1.16299,0.93696,0.000592203,0.000592203,0.000592203
11,316.526,0.42987,0.63713,1.06474,0.94746,0.5,0.65233,0.63575,0.40183,1.23133,0.89549,0.000645846,0.000645846,0.000645846
12,352.303,0.4706,0.71706,1.12395,0.9492,0.5,0.66333,0.63882,0.50849,1.41818,0.94182,0.000698168,0.000698168,0.000698168
13,384.673,0.41956,0.60551,1.04731,0.97987,0.5,0.66333,0.64126,0.50917,1.50574,1.03808,0.00074917,0.00074917,0.00074917
14,415.525,0.43532,0.65384,1.04802,0.94093,0.5,0.74075,0.71795,0.6201,1.60655,1.00162,0.000798851,0.000798851,0.000798851
15,445.137,0.41968,0.63561,1.05273,0.94261,0.5,0.70775,0.67095,0.58722,1.58485,0.94861,0.000847213,0.000847213,0.000847213
16,480.595,0.44597,0.60957,1.06911,0.94375,0.5,0.70225,0.69155,0.51121,1.36827,0.92991,0.000894254,0.000894254,0.000894254
17,511.475,0.38665,0.67642,1.03018,0.94608,0.5,0.70225,0.67737,0.44003,1.23242,0.90176,0.000939975,0.000939975,0.000939975
18,542.255,0.4388,0.62868,1.07003,0.94501,0.5,0.70225,0.69688,0.4163,1.26702,0.92896,0.000984375,0.000984375,0.000984375
19,572.099,0.39478,0.56832,1.02179,0.91003,0.5,0.71875,0.69639,0.43936,1.27316,0.88146,0.00102746,0.00102746,0.00102746
20,600.755,0.42603,0.58821,1.05497,0.94712,0.5,0.74075,0.68661,0.60708,1.38441,0.89286,0.00106922,0.00106922,0.00106922
